84.235.245.18,34501,AE,Oracle Svenska AB
192.9.190.80,23862,AU,Oracle Corporation
170.64.152.77,7443,AU,DigitalOcean, LLC
34.22.190.30,443,BE,Google LLC
185.82.218.224,443,BG,ITLDC EU2.SOF Datacenter Network
185.82.218.224,9443,BG,ITLDC EU2.SOF Datacenter Network
79.124.7.236,444,BG,DA International Group Ltd. - AlphaVPS
172.98.207.58,443,CA,CENTRILOGICCANADA
91.90.193.24,443,CH,Friendhosting LTD
176.10.125.114,443,CH,Datasource AG
45.85.93.21,443,CH,Internet Utilities Europe and Asia Limited
91.245.225.69,443,CH,GLB Bulut Teknolojisi Limited Sirketi
185.195.69.119,2053,CH,Datasource AG
185.195.69.119,8443,CH,Datasource AG
194.135.22.181,443,CH,GLB Bulut Teknolojisi Limited Sirketi
185.195.69.209,2053,CH,Datasource AG
185.195.69.200,8443,CH,Datasource AG
185.195.69.200,2053,CH,Datasource AG
194.87.18.92,443,CH,Baxet Group Inc.
45.95.232.115,2053,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.85.93.59,443,CH,Internet Utilities Europe and Asia Limited
45.85.93.96,443,CH,Internet Utilities Europe and Asia Limited
45.90.58.58,81,CH,Green Floid LLC
45.85.93.83,443,CH,Internet Utilities Europe and Asia Limited
45.85.93.49,443,CH,Internet Utilities Europe and Asia Limited
45.95.232.18,8443,CH,GLOBAL CONNECTIVITY SOLUTIONS LLP
91.192.102.55,443,CH,Datasource AG
91.192.102.170,8443,CH,Datasource AG
94.131.12.56,443,CH,WorkTitans B.V.
94.247.42.207,443,CH,servinga GmbH
91.223.208.217,443,CY,CLOUDLAYER8 LIMITED
81.91.214.85,443,CZ,OvaNet, a.s.
81.91.214.162,443,CZ,OvaNet, a.s.
212.113.106.40,2053,DE,Aeza International LTD
212.113.106.40,8443,DE,Aeza International LTD
195.133.64.185,443,DE,Cloud Hosting Solutions, Limited.
193.124.92.170,443,DE,GLB Bulut Teknolojisi Limited Sirketi
91.107.157.253,26484,DE,Hetzner Online GmbH
91.107.157.253,33894,DE,Hetzner Online GmbH
91.107.166.26,2053,DE,Hetzner Online GmbH
91.107.145.203,37607,DE,Hetzner Online GmbH
91.107.143.27,4090,DE,Hetzner Online GmbH
141.147.10.210,8881,DE,Oracle Corporation
54.38.159.25,443,DE,OVH GmbH
57.129.47.3,2053,DE,OVH GmbH
51.195.44.3,2053,DE,OVH GmbH
51.195.100.247,2053,DE,OVH GmbH
57.129.15.103,2053,DE,OVH GmbH
51.195.46.211,2053,DE,OVH GmbH
37.1.195.124,443,DE,IROKO Networks Corporation
37.1.194.138,443,DE,IROKO Networks Corporation
194.87.199.135,443,DE,Cloud Hosting Solutions, Limited.
80.76.32.165,443,DE,FIRST SERVER LIMITED
37.120.186.205,2087,DE,netcup GmbH
185.78.76.253,443,DE,nuxtcloud
31.172.72.83,443,DE,Fornex Hosting S.L.
88.198.18.246,8443,DE,HOS-512604
91.107.166.111,2053,DE,Hetzner Online GmbH
5.61.32.232,433,DE,IROKO Networks Corporation
91.107.166.111,8888,DE,Hetzner Online GmbH
78.46.234.136,2087,DE,Hetzner Online GmbH
78.46.234.136,2053,DE,Hetzner Online GmbH
116.202.1.107,14444,DE,Hetzner Online GmbH
5.230.44.233,443,DE,Cloudflare London, LLC
45.84.196.33,65513,DE,24fire GmbH
5.39.249.146,443,DE,ahbr company limited
88.99.252.146,443,DE,Hetzner Online GmbH
5.230.44.117,16771,DE,GHOSTnet Network used for VPS Hosting Services
185.66.165.51,443,DE,Perfecto Mobile UK Ltd (/24 used in Germany)
45.154.207.101,443,DE,oneprovider.com - Frankfurt Infrastructure
51.195.45.34,2053,DE,OVH GmbH
94.159.98.23,2053,DE,H2.NEXUS Frankfurt Network
